,Femme,Homme,Age1,Age2,Age3,Age4,Age5,Age6
18h02,0,1,0,0,0,0,1,0
18h04,1,0,0,0,0,0,0,1
18h05,2,1,1,0,0,1,0,1
18h09,0,2,2,0,0,0,0,0
18h10,0,1,0,0,0,0,0,1
18h12,1,0,0,1,0,0,0,0
18h14,1,0,0,0,1,0,0,0
18h15,14,2,3,2,3,5,2,1
18h17,0,1,1,0,0,0,0,0
18h18,0,2,0,0,0,0,2,0
18h20,1,5,3,0,0,1,2,0
18h30,45,10,4,14,7,11,11,8
18h32,0,1,0,0,0,0,0,1
18h35,1,0,0,0,0,1,0,0
18h36,1,0,0,1,0,0,0,0
18h39,1,0,0,0,0,1,0,0
18h40,3,0,0,2,0,0,0,1
18h44,1,0,0,0,0,0,1,0
18h45,25,6,4,3,3,6,11,4
18h50,1,0,0,0,0,1,0,0
18heure,1,0,0,0,0,1,0,0
18kg,1,0,0,1,0,0,0,0
18m2,1,0,0,0,0,1,0,0
18q,1,0,0,1,0,0,0,0
18xd,1,0,1,0,0,0,0,0
19,55,20,11,5,3,13,14,29
190,1,0,0,1,0,0,0,0
1900,1,0,0,0,0,0,0,1
1918,1,0,1,0,0,0,0,0
1920,0,2,0,0,0,0,2,0
1945,1,0,0,1,0,0,0,0
1948,1,0,0,0,0,0,1,0
19500,1,0,0,0,0,0,0,1
1962,1,0,1,0,0,0,0,0
196kms,1,0,0,0,0,0,0,1
1973,1,0,0,1,0,0,0,0
1980,1,1,0,1,0,1,0,0
1986,1,0,0,0,0,0,1,0
1990,4,0,0,2,1,0,1,0
1991,1,0,0,0,1,0,0,0
19ans,1,0,0,1,0,0,0,0
19e,1,0,0,0,0,0,0,1
19eme,2,0,0,0,1,1,0,0
19euro,1,0,0,0,0,0,1,0
19h,91,48,13,16,28,31,20,31
19h00,0,1,0,0,0,0,0,1
19h02,1,0,0,0,0,1,0,0
19h05,0,1,0,0,1,0,0,0
19h06,1,0,0,0,0,0,1,0
19h08,0,1,1,0,0,0,0,0
19h10,0,1,0,0,0,0,0,1
19h12,1,0,0,0,1,0,0,0
19h15,12,4,1,3,4,3,3,2
19h20,5,0,0,0,2,1,2,0
19h25,1,0,0,0,0,0,0,1
19h27,1,0,0,1,0,0,0,0
19h30,69,17,11,6,14,15,17,23
19h33,1,0,0,1,0,0,0,0
19h3o,1,0,0,0,0,0,1,0
19h40,5,0,0,0,1,0,1,3
19h43,1,0,0,0,0,1,0,0
19h45,11,3,1,0,3,3,4,3
19h50,1,1,0,0,0,1,0,1
19h55,1,1,0,0,0,0,0,2
19h58,3,0,0,0,0,1,0,2
19jours,2,0,2,0,0,0,0,0
19novembre,0,1,0,0,1,0,0,0
19page,1,0,1,0,0,0,0,0
19ème,1,0,0,1,0,0,0,0
1_48,1,0,1,0,0,0,0,0
1a1,0,1,1,0,0,0,0,0
1an,12,1,2,2,0,2,6,1
1ans,1,0,0,0,0,0,0,1
1batterie,1,0,0,0,0,1,0,0
1bon,1,0,0,0,0,0,1,0
1bonne,1,0,0,0,0,1,0,0
1camion,1,0,0,0,0,0,1,0
1cig,1,0,0,0,0,0,1,0
1coup,3,0,0,0,2,1,0,0
1d,2,0,0,0,2,0,0,0
1dses,1,0,0,0,1,0,0,0
1e,10,0,2,0,0,0,7,1
1e60,1,0,1,0,0,0,0,0
1entreprise,1,0,0,0,0,0,1,0
1er,86,22,19,26,13,20,17,13
1ere,24,6,5,9,8,7,0,1
1eres,2,0,1,0,1,0,0,0
1ers,2,1,0,0,1,0,2,0
1et,1,0,1,0,0,0,0,0
1extra,1,0,0,0,0,1,0,0
1fois,5,0,0,1,0,1,3,0
1h,88,32,40,18,9,19,17,17
1h02,1,0,1,0,0,0,0,0
1h05,0,1,1,0,0,0,0,0
1h15,4,1,1,0,1,1,0,2
1h20,1,0,0,0,0,1,0,0
1h30,34,9,10,8,7,5,5,8
1h45,2,3,0,2,1,0,1,1
1h50,0,1,1,0,0,0,0,0
1heure,3,2,3,0,0,2,0,0
1janvie,1,0,1,0,0,0,0,0
1japonai,1,0,0,0,1,0,0,0
1japonais,1,0,0,0,1,0,0,0
1je,1,0,1,0,0,0,0,0
1jour,1,0,0,1,0,0,0,0
1km,2,2,2,0,1,0,0,1
1m,1,4,2,0,0,1,1,1
1m62,1,0,0,0,0,1,0,0
1m80,1,0,0,0,0,0,0,1
1min,5,4,5,1,0,1,2,0
1mm,1,0,0,1,0,0,0,0
1mn,1,0,0,0,1,0,0,0
1moi,1,0,1,0,0,0,0,0
1mois,10,0,4,0,0,2,3,1
1msg,1,0,1,0,0,0,0,0
1mètre,1,0,0,1,0,0,0,0
1ou,1,0,0,1,0,0,0,0
1page,0,1,1,0,0,0,0,0
1paquet,1,0,0,0,0,0,1,0
1partie,1,0,0,0,0,1,0,0
1peu,2,0,1,0,0,0,0,1
1ptite,0,1,0,0,0,0,1,0
1pull,1,0,1,0,0,0,0,0
1quart,1,0,0,0,0,0,0,1
1re,1,0,0,0,0,0,0,1
1réunion,1,0,0,0,0,1,0,0
1s,1,0,0,0,0,0,0,1
1sec,0,1,0,0,0,0,0,1
1seconde,0,1,0,1,0,0,0,0
1sem,2,0,0,0,0,0,0,2
1semaine,3,2,4,0,0,0,1,0
1sms,3,0,0,0,0,2,1,0
1td,1,0,0,0,0,1,0,0
1tram,0,1,0,0,0,0,1,0
1voiture,1,0,0,0,1,0,0,0
1x,1,0,0,1,0,0,0,0
1ère,25,7,11,2,2,7,4,6
1ères,3,0,0,0,0,0,3,0
1ères1,0,1,1,0,0,0,0,0
1é,4,0,2,0,0,0,0,2
