AGE;ID_NUM_TEL;SEXE;NIVEAU_SUPERIEUR_CHOIX;TYPE_TELEPHONE;ABONNEMENT_ILLIMITE;TEMPS_UTILISATION_SMS;ENVOI_SMS_SEMAINE;UTILISATION_T9;DESTINATAIRE_AMIS;DESTINATAIRE_COLLEGUES;DESTINATAIRE_FAMILLE;DESTINATAIRE_COMPAGNON;DUREE_LECTURE
14;129;Femme;college;iphone;oui;1 a 3;plus de 100;non;6;6;3;0;11,52
13;79;Femme;college;iphone;oui;1 a 3;plus de 100;non;6;0;2;0;1,05
13;44;Femme;college;iphone;oui;1 a 3;50 a 100;non;6;0;0;0;0,00
14;119;Homme;college;iphone;oui;1 a 3;plus de 100;non;6;6;0;0;4,19
13;35;Homme;college;iphone;oui;1 a 3;20 a 50;oui;6;3;5;0;5,24
12;490;Femme;college;iphone;oui;plus de 5;plus de 100;non;6;6;3;4;2,10
11;503;Femme;college;iphone;oui;moins de 1;20 a 50;non;3;0;3;0;5,24
14;143;Femme;college;iphone;oui;3 a 5;20 a 50;non;6;2;1;0;13,62
14;373;Homme;college;iphone;oui;3 a 5;plus de 100;non;5;6;4;0;1,05
16;193;Femme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;5;4;0;5,24
11;257;Femme;college;classique;oui;1 a 3;plus de 100;non;6;5;4;0;1,05
15;362;Femme;lycee;classique;oui;moins de 1;plus de 100;non;5;0;3;6;0,00
17;298;Femme;lycee;blackberry;oui;plus de 5;plus de 100;oui;6;3;4;0;5,24
16;256;Femme;lycee;iphone;oui;3 a 5;plus de 100;non;6;2;3;6;3,14
13;184;Homme;college;classique;oui;1 a 3;plus de 100;oui;6;0;2;4;1,05
18;399;Femme;lycee;blackberry;oui;1 a 3;plus de 100;non;6;3;1;5;4,19
13;208;Homme;college;iphone;oui;1 a 3;50 a 100;non;5;0;5;0;2,10
33;341;Femme;bac;iphone;oui;plus de 5;10 a 20;non;5;4;1;0;3,14
21;20;Femme;bac;blackberry;oui;plus de 5;plus de 100;non;5;2;5;6;2,10
17;243;Femme;bac;blackberry;oui;plus de 5;50 a 100;non;6;0;1;6;6,29
19;266;Homme;bac;iphone;oui;plus de 5;plus de 100;oui;6;6;3;0;2,10
46;465;Homme;bac;iphone;non;plus de 5;10 a 20;non;1;2;6;6;4,19
21;172;Femme;bac;iphone;oui;3 a 5;50 a 100;oui;6;0;2;6;2,10
29;320;Femme;bac;blackberry;oui;plus de 5;20 a 50;non;6;4;5;4;4,19
27;132;Homme;bac;iphone;oui;plus de 5;10 a 20;non;6;4;3;6;2,10
19;482;Femme;bac;classique;oui;3 a 5;50 a 100;oui;5;0;5;6;4,19
42;428;Femme;bac;iphone;oui;plus de 5;5 a 10;oui;1;2;6;0;2,10
19;46;Femme;bac;iphone;oui;plus de 5;50 a 100;non;4;2;6;6;5,24
20;388;Femme;bac;blackberry;oui;3 a 5;20 a 50;non;5;0;4;6;1,05
18;251;Femme;bac;iphone;oui;3 a 5;plus de 100;oui;6;0;5;0;3,14
18;508;Femme;bac;classique;oui;plus de 5;plus de 100;oui;6;3;3;6;3,14
18;369;Homme;bac;blackberry;oui;plus de 5;20 a 50;non;6;3;2;0;2,10
16;324;Femme;bac;iphone;oui;3 a 5;plus de 100;non;6;0;5;0;4,19
18;244;Femme;bac;classique;oui;3 a 5;20 a 50;non;6;0;1;2;0,00
17;84;Femme;bac;classique;non;plus de 5;50 a 100;non;6;2;4;4;4,19
18;336;Femme;bac;classique;oui;3 a 5;50 a 100;oui;5;4;3;6;2,10
19;207;Femme;bac;blackberry;oui;plus de 5;50 a 100;non;5;3;4;6;8,38
18;69;Femme;bac;iphone;oui;3 a 5;50 a 100;oui;6;0;5;0;2,10
20;311;Homme;bac;classique;oui;1 a 3;plus de 100;oui;6;4;2;5;4,19
18;12;Homme;bac;blackberry;oui;plus de 5;20 a 50;non;6;2;5;3;3,14
18;101;Homme;bac;iphone;oui;plus de 5;50 a 100;oui;6;2;2;1;3,14
18;106;Femme;bac;iphone;oui;plus de 5;plus de 100;oui;4;0;5;6;2,10
17;491;Femme;bac;blackberry;oui;plus de 5;plus de 100;non;6;0;4;3;4,19
18;339;Femme;bac;iphone;oui;plus de 5;plus de 100;oui;5;3;4;6;2,10
18;216;Femme;bac;blackberry;oui;plus de 5;plus de 100;oui;6;3;2;6;4,19
19;485;Femme;bac;iphone;oui;plus de 5;50 a 100;oui;6;4;3;6;0,00
19;31;Femme;bac;blackberry;oui;3 a 5;50 a 100;non;6;3;4;5;5,24
29;234;Homme;bac;iphone;oui;plus de 5;20 a 50;non;6;0;6;0;9,43
19;420;Femme;bac;iphone;oui;plus de 5;plus de 100;oui;6;5;4;0;2,10
20;85;Femme;bac;blackberry;oui;plus de 5;10 a 20;non;5;2;3;6;5,24
18;394;Femme;bac;blackberry;oui;plus de 5;20 a 50;non;6;4;5;0;5,24
19;330;Homme;bac;classique;oui;3 a 5;20 a 50;non;6;2;3;5;4,19
19;464;Femme;bac;blackberry;oui;plus de 5;plus de 100;non;6;4;4;6;3,14
19;54;Femme;bac;iphone;oui;plus de 5;50 a 100;oui;6;4;5;6;6,29
19;230;Homme;bac_1;blackberry;oui;1 a 3;50 a 100;non;6;0;4;6;9,43
19;477;Femme;bac_1;blackberry;oui;plus de 5;20 a 50;non;6;0;5;6;2,10
19;437;Homme;bac_1;classique;oui;3 a 5;20 a 50;non;5;1;0;6;4,19
21;343;Femme;bac_1;classique;oui;plus de 5;20 a 50;non;5;2;3;6;5,24
22;475;Femme;bac_1;iphone;oui;plus de 5;50 a 100;oui;4;0;5;6;3,14
20;102;Homme;bac_1;classique;oui;plus de 5;50 a 100;oui;6;2;3;0;3,14
18;89;Femme;bac_1;autre;oui;3 a 5;plus de 100;oui;6;2;4;5;4,19
18;439;Femme;bac_1;iphone;oui;plus de 5;50 a 100;non;6;3;5;4;4,19
18;325;Homme;bac_1;blackberry;oui;plus de 5;plus de 100;non;5;0;1;5;6,29
20;226;Homme;bac_1;iphone;oui;plus de 5;plus de 100;oui;0;2;1;4;2,10
20;446;Homme;bac_1;blackberry;oui;plus de 5;10 a 20;non;2;2;2;1;2,10
17;116;Femme;bac_1;iphone;oui;plus de 5;plus de 100;non;6;1;5;6;5,24
17;171;Homme;bac_1;iphone;oui;3 a 5;50 a 100;oui;6;0;2;0;5,24
20;188;Femme;bac_1;autre;oui;plus de 5;20 a 50;non;3;6;5;4;4,19
18;19;Homme;bac_1;classique;oui;1 a 3;50 a 100;non;6;0;2;4;5,24
20;265;Femme;bac_1;iphone;oui;plus de 5;plus de 100;oui;6;5;3;6;6,29
18;169;Femme;bac_1;classique;oui;3 a 5;50 a 100;non;5;5;6;0;6,29
18;47;Homme;bac_1;iphone;oui;plus de 5;plus de 100;non;4;0;3;6;3,14
19;61;Femme;bac_1;blackberry;oui;plus de 5;50 a 100;oui;6;3;4;6;5,24
19;33;Femme;bac_1;iphone;oui;plus de 5;10 a 20;non;5;0;3;2;3,14
19;144;Femme;bac_1;classique;oui;3 a 5;20 a 50;oui;6;0;3;0;4,19
19;34;Femme;bac_1;iphone;oui;plus de 5;plus de 100;oui;6;5;2;0;2,10
18;365;Femme;bac_1;iphone;oui;3 a 5;plus de 100;oui;6;0;4;1;3,14
18;217;Femme;bac_1;iphone;oui;3 a 5;50 a 100;oui;6;0;3;0;5,24
19;480;Homme;bac_1;iphone;oui;plus de 5;plus de 100;oui;6;3;3;6;5,24
20;444;Femme;bac_1;blackberry;oui;plus de 5;20 a 50;non;6;3;4;5;3,14
19;254;Femme;bac_2;autre;oui;plus de 5;plus de 100;non;5;4;4;6;5,24
20;151;Femme;bac_2;classique;oui;plus de 5;20 a 50;oui;6;1;3;0;4,19
20;88;Femme;bac_2;blackberry;oui;plus de 5;20 a 50;non;5;2;1;4;3,14
21;197;Femme;bac_2;iphone;oui;plus de 5;50 a 100;oui;5;0;4;0;3,14
53;204;Homme;bac_2;iphone;oui;plus de 5;10 a 20;non;4;0;5;5;1,05
23;162;Femme;bac_2;classique;oui;plus de 5;50 a 100;oui;6;0;3;3;2,10
20;406;Femme;bac_2;iphone;oui;plus de 5;plus de 100;oui;5;0;4;6;3,14
18;355;Femme;bac_2;classique;oui;plus de 5;plus de 100;oui;5;1;4;0;3,14
18;452;Femme;bac_2;iphone;oui;plus de 5;20 a 50;oui;6;3;6;4;7,33
42;370;Femme;bac_2;iphone;oui;plus de 5;20 a 50;oui;5;2;6;5;4,19
30;299;Homme;bac_2;iphone;oui;plus de 5;10 a 20;oui;4;2;2;4;4,19
29;70;Femme;bac_2;iphone;oui;plus de 5;20 a 50;oui;6;5;4;3;4,19
25;13;Femme;bac_2;blackberry;oui;plus de 5;10 a 20;oui;5;3;2;6;2,10
24;110;Femme;bac_2;blackberry;oui;plus de 5;20 a 50;non;6;2;3;6;5,24
23;396;Homme;bac_2;iphone;oui;plus de 5;20 a 50;non;6;0;4;4;5,24
30;289;Femme;bac_2;classique;oui;plus de 5;20 a 50;oui;5;3;4;6;3,14
24;382;Femme;bac_2;blackberry;oui;3 a 5;plus de 100;non;6;0;5;0;3,14
23;17;Homme;bac_2;iphone;oui;plus de 5;50 a 100;non;4;3;5;6;6,29
25;180;Homme;bac_2;iphone;oui;plus de 5;20 a 50;oui;6;3;1;6;3,14
25;409;Femme;bac_2;blackberry;oui;plus de 5;50 a 100;non;5;1;5;2;3,14
22;407;Femme;bac_2;classique;oui;plus de 5;20 a 50;oui;6;2;5;6;3,14
20;417;Femme;bac_2;blackberry;oui;plus de 5;50 a 100;non;6;3;6;6;3,14
30;225;Femme;bac_2;iphone;oui;plus de 5;20 a 50;oui;6;1;4;6;2,10
35;25;Homme;bac_2;iphone;oui;plus de 5;20 a 50;non;6;1;3;6;5,24
28;457;Femme;bac_2;classique;oui;plus de 5;20 a 50;oui;4;3;6;5;3,14
21;433;Femme;bac_2;iphone;oui;plus de 5;50 a 100;oui;5;3;4;6;3,14
26;74;Femme;bac_2;iphone;oui;plus de 5;20 a 50;oui;5;3;4;6;8,38
33;380;Homme;bac_2;iphone;oui;plus de 5;10 a 20;non;6;3;2;6;3,14
20;60;Femme;bac_2;iphone;oui;plus de 5;20 a 50;non;5;0;5;6;2,10
23;368;Femme;bac_2;iphone;oui;plus de 5;50 a 100;oui;5;4;3;5;3,14
21;474;Homme;bac_2;iphone;oui;plus de 5;50 a 100;non;6;0;3;6;3,14
20;275;Homme;bac_2;classique;oui;plus de 5;plus de 100;oui;4;3;0;3;4,19
20;488;Femme;bac_2;iphone;oui;3 a 5;10 a 20;oui;6;4;5;0;5,24
45;30;Femme;bac_2;classique;non;plus de 5;20 a 50;non;3;4;6;5;5,24
21;259;Femme;bac_2;iphone;oui;plus de 5;20 a 50;oui;6;2;5;0;4,19
33;196;Femme;bac_2;iphone;oui;plus de 5;50 a 100;non;6;1;5;0;0,00
26;410;Femme;bac_2;iphone;oui;plus de 5;50 a 100;oui;5;2;4;6;3,14
27;385;Homme;bac_2;iphone;oui;plus de 5;10 a 20;oui;5;4;3;6;5,24
22;463;Femme;bac_2;blackberry;oui;plus de 5;20 a 50;non;6;5;2;3;0,00
18;492;Femme;bac_2;blackberry;oui;plus de 5;plus de 100;non;6;0;3;6;4,19
19;505;Femme;bac_2;classique;oui;1 a 3;plus de 100;oui;4;0;4;6;6,29
19;141;Femme;bac_2;classique;oui;3 a 5;20 a 50;oui;5;4;6;0;6,29
19;67;Femme;bac_2;classique;oui;plus de 5;50 a 100;non;1;3;1;6;10,48
23;504;Homme;bac_2;classique;non;3 a 5;10 a 20;oui;5;5;3;6;4,19
23;201;Femme;bac_2;iphone;oui;plus de 5;5 a 10;oui;6;4;5;6;7,33
20;93;Femme;bac_2;classique;oui;plus de 5;20 a 50;non;6;0;2;0;1,05
21;200;Femme;bac_2;iphone;oui;plus de 5;10 a 20;non;6;4;5;6;3,14
46;472;Femme;bac_2;iphone;oui;plus de 5;20 a 50;non;5;0;6;0;6,29
21;43;Homme;bac_2;blackberry;oui;plus de 5;50 a 100;non;6;4;1;0;2,10
21;94;Homme;bac_2;iphone;oui;3 a 5;plus de 100;oui;6;3;1;6;2,10
34;96;Femme;bac_2;iphone;oui;plus de 5;5 a 10;oui;6;0;5;4;3,14
34;291;Femme;bac_2;classique;oui;3 a 5;5 a 10;non;4;6;4;1;2,10
23;347;Femme;bac_2;iphone;oui;plus de 5;plus de 100;non;4;3;2;6;4,19
24;285;Homme;bac_2;iphone;oui;plus de 5;5 a 10;oui;3;1;3;6;1,05
19;460;Femme;bac_2;iphone;oui;plus de 5;20 a 50;oui;6;3;3;6;6,29
20;312;Femme;bac_2;classique;oui;1 a 3;10 a 20;non;5;2;1;0;4,19
19;177;Homme;bac_2;iphone;oui;plus de 5;50 a 100;oui;6;0;2;0;4,19
43;82;Femme;bac_2;iphone;oui;plus de 5;10 a 20;oui;6;2;4;6;3,14
19;351;Femme;bac_2;iphone;oui;plus de 5;10 a 20;oui;6;1;4;6;4,19
20;181;Femme;bac_2;classique;oui;plus de 5;50 a 100;non;6;1;4;6;5,24
21;378;Femme;bac_2;iphone;oui;plus de 5;plus de 100;non;6;5;4;6;4,19
28;283;Femme;bac_2;iphone;oui;plus de 5;20 a 50;non;6;2;6;1;2,10
18;302;Femme;bac_2;blackberry;oui;plus de 5;50 a 100;oui;6;5;5;0;7,33
50;360;Homme;bac_2;iphone;oui;plus de 5;moins de 5;oui;4;2;5;6;0,00
20;353;Femme;bac_3;blackberry;oui;plus de 5;plus de 100;non;6;4;5;6;5,24
20;185;Homme;bac_3;iphone;oui;plus de 5;50 a 100;non;5;3;4;6;2,10
22;426;Femme;bac_3;iphone;non;plus de 5;5 a 10;non;6;0;5;0;5,24
20;332;Femme;bac_3;iphone;oui;plus de 5;50 a 100;oui;6;3;1;4;4,19
32;478;Femme;bac_3;iphone;oui;plus de 5;20 a 50;oui;5;3;4;6;3,14
21;359;Femme;bac_3;classique;oui;plus de 5;50 a 100;oui;5;3;5;6;4,19
21;379;Femme;bac_3;iphone;oui;plus de 5;20 a 50;non;6;0;1;2;3,14
26;412;Femme;bac_3;classique;non;plus de 5;10 a 20;non;6;4;5;2;3,14
52;414;Femme;bac_3;iphone;oui;3 a 5;20 a 50;non;5;5;5;5;4,19
32;36;Femme;bac_3;iphone;oui;plus de 5;5 a 10;oui;3;1;4;6;3,14
28;253;Femme;bac_3;iphone;oui;plus de 5;5 a 10;oui;6;4;3;5;4,19
21;92;Femme;bac_3;classique;oui;plus de 5;10 a 20;non;3;1;5;5;2,10
28;392;Femme;bac_3;iphone;oui;plus de 5;5 a 10;non;4;2;3;6;2,10
23;310;Homme;bac_3;iphone;oui;plus de 5;50 a 100;oui;6;0;3;0;7,33
21;131;Femme;bac_3;iphone;oui;plus de 5;plus de 100;non;3;0;1;6;3,14
21;440;Femme;bac_3;blackberry;oui;plus de 5;plus de 100;non;5;2;4;6;2,10
24;227;Femme;bac_3;iphone;oui;plus de 5;50 a 100;oui;5;0;4;6;5,24
44;432;Femme;bac_3;iphone;oui;plus de 5;plus de 100;non;6;2;5;6;4,19
29;453;Femme;bac_3;iphone;oui;plus de 5;50 a 100;oui;4;3;5;6;2,10
23;58;Femme;bac_3;classique;oui;plus de 5;5 a 10;non;4;3;6;5;2,10
54;442;Femme;bac_3;classique;oui;plus de 5;10 a 20;oui;3;1;4;3;3,14
40;292;Femme;bac_3;iphone;oui;plus de 5;5 a 10;oui;5;1;3;6;3,14
40;154;Femme;bac_3;iphone;oui;3 a 5;10 a 20;oui;5;3;4;6;2,10
27;29;Homme;bac_3;classique;non;plus de 5;5 a 10;non;5;0;4;6;5,24
21;376;Femme;bac_3;iphone;oui;plus de 5;plus de 100;oui;6;3;5;4;0,00
19;2;Homme;bac_3;iphone;oui;3 a 5;plus de 100;oui;6;3;4;6;3,14
21;403;Femme;bac_3;iphone;oui;plus de 5;plus de 100;non;6;0;3;0;3,14
19;28;Femme;bac_3;blackberry;oui;plus de 5;50 a 100;non;5;0;2;4;7,33
20;99;Femme;bac_3;classique;oui;plus de 5;plus de 100;non;6;3;6;6;5,24
25;183;Homme;bac_3;iphone;oui;moins de 1;20 a 50;oui;4;1;1;3;2,10
