,Femme,Homme,Age1
4heure,1,0,0
4heures,3,0,2
4ieme,0,1,1
4j,2,0,0
4jours,3,0,2
4kilo,1,0,0
4kilos,0,1,0
4km,0,1,0
4min,6,0,0
4mois,3,0,0
4msg,1,0,1
4n,1,4,3
4p,1,0,0
4pates,1,0,0
4s,4,8,1
4séance,1,0,1
4à5,0,1,1
4ème,3,1,0
4éme,1,0,0
50,58,25,12
500,10,5,2
5000,3,1,1
5008,0,1,0
500e,3,0,0
500g,1,1,1
500giga,1,0,0
500mg,1,0,0
50ans,3,0,0
50e,2,0,1
50euro,2,0,0
50euros,1,0,0
50h,1,0,0
50min,0,1,0
50ml,1,0,0
51,4,1,2
512,1,0,0
518,0,1,0
52,2,0,1
528,1,0,0
53,7,0,0
53euros,3,0,0
53m2,1,0,0
53rue,1,0,1
54,2,3,2
54cm,1,0,0
54e,1,0,0
55,6,9,2
550,2,0,0
55m2,1,0,0
56,2,1,1
560105q,1,0,0
569,1,0,0
57,4,0,0
570h,1,0,0
57kg,2,0,0
58,6,3,3
583e,1,0,0
59,2,3,1
59h,1,0,0
5a,0,1,0
5abr,0,1,1
5ans,2,0,0
5br,0,1,1
5carton,1,0,1
5chaines,1,0,0
5e,6,1,0
5eme,2,0,0
5ere,1,0,0
5euros,3,0,0
5h,36,13,8
5h00,1,0,0
5h30,6,0,1
5h3o,1,0,0
5h45,2,0,0
5h46,0,1,0
5janvier,1,0,0
5jours,6,0,0
5jrs,1,0,0
5k,1,1,0
5kgs,1,0,0
5km200,0,1,1
5l,1,0,0
5ln,1,0,0
5m,0,1,0
5mhn,1,0,1
5min,54,10,22
5minutes,1,2,1
5mn,9,0,0
5mois,2,0,0
5novembre,1,0,1
5oct,1,0,0
5oene,1,0,0
5pa,3,0,0
5paquets,1,0,0
5pers,0,1,1
5personnes,0,1,1
5petites,1,0,0
5radio,1,0,0
5sem,1,0,0
5semaines,0,1,1
5ui,1,0,0
5ème,2,3,1
60,24,4,4
600,0,3,0
60e,3,0,1
60euros,1,0,0
60hein,1,0,0
60pages,1,0,0
61,1,0,0
613,1,0,0
6173,1,0,0
6194,1,0,0
61k,1,0,0
62,1,1,1
6200,0,1,0
620e,2,0,0
62millions,0,1,1
63,2,1,2
63eur,1,0,0
64,1,1,0
645,1,0,0
649,1,0,0
64p25,1,0,1
65,4,2,2
65ans,0,1,0
65euros,1,0,0
66,2,0,0
660,0,1,1
66cm,1,0,0
66e,1,0,0
66euros,1,0,0
66p26,1,0,1
67,1,0,0
670,0,1,0
678,0,1,0
68,2,1,0
69,1,1,1
69euro,1,0,1
6aussi,1,0,1
6bornes,1,0,0
6c2,2,0,0
6e,2,1,2
6eme,1,1,1
6euro,1,0,0
6euros,1,0,0
6h,45,18,8
6h15,1,0,0
6h30,1,2,1
6h45,1,1,0
6h50,1,1,0
6h54,1,0,0
6h58,0,1,1
6heure,2,0,0
6i,0,1,0
6j,1,0,0
6jours,0,1,1
6kgs,1,0,1
6min,2,0,0
6mois,5,0,1
6pizzas,0,1,0
6pm,1,0,0
6semaines,1,1,1
70,9,1,1
700,2,0,0
700e,3,0,0
70e,3,0,0
70sa,1,0,0
72,2,1,1
72h,0,2,0
73,4,1,0
731,0,2,0
732km,0,1,1
74,2,1,2
75,7,2,2
750,2,1,0
750000,0,1,0
750giga,1,0,0
76,4,0,3
7625,0,1,0
764,0,1,0
76402,1,0,0
77,3,2,2
78,2,1,1
79,3,1,0
7ans,2,0,1
7donc,1,0,1
7e,1,0,1
7eme,2,0,0
7euro,1,0,0
7euros,2,0,0
7h,35,11,2
7h00,0,1,0
7h08,1,0,0
7h15,3,3,1
7h25,0,1,0
7h30,13,5,2
7h32,1,0,0
7h35,1,2,0
7h40,3,1,1
7h43,2,0,1
7h45,3,1,1
7h50,2,2,2
7h54,1,0,0
7h55,2,0,0
7ieme,0,1,1
7j,4,0,1
7jour,1,0,1
7jours,3,0,2
7jrs,1,0,0
7livres,2,0,0
7meilleure,1,0,1
7min,2,0,1
7minutes,1,0,0
7mn,0,1,1
7mois,1,0,0
7octobre,1,0,0
7è,1,0,0
80,15,4,1
800,2,2,2
80000km,1,0,1
800m,0,4,4
80e,2,0,0
81,5,4,7
811jours,1,0,1
82,1,0,0
83,4,0,0
84,2,0,0
840min,1,0,1
85,4,0,0
850,1,0,0
8500e,1,0,1
857,0,1,1
85e,3,0,0
85euros,1,0,0
87,1,0,0
870kl,1,0,0
875,1,0,0
87e,1,0,0
88,3,0,0
888,0,1,0
88e,1,0,0
88euro,1,0,0
89,2,0,0
89de,1,0,0
8a9h30,0,1,1
8ans,2,0,0
8aussi,0,1,1
8e,1,0,0
8eme,1,0,0
8go,1,0,0
8h,64,33,24
8h00,1,3,0
8h03,1,0,1
8h05,2,0,0
8h10,2,1,3
8h11,1,0,1
8h15,14,3,1
8h18,0,1,1
8h20,6,3,1
8h25,1,0,0
8h30,22,7,5
8h34,1,0,0
8h35,0,1,0
8h40,1,0,0
8h45,7,1,1
8h50,1,1,0
8h55,0,1,1
8heure,5,0,0
8heures,1,0,0
8jours,2,1,2
8min,4,1,2
8mois,1,0,0
8o,0,1,1
8ou9,1,0,0
8p,1,0,0
8pts,1,0,1
8à9,1,0,1
8ème,1,0,0
90,15,6,7
900,0,1,0
900e,1,0,0
90210,1,0,0
90e,3,0,0
90km,0,1,0
91,2,0,0
92,3,0,3
93,1,0,1
94,2,0,0
95,4,5,4
96,3,0,3
97,5,0,3
974,1,0,0
98,3,1,0
99,4,3,2
995,1,0,0
9988,1,0,0
999,1,1,1
999999,0,1,1
99e,1,0,1
9b15,1,0,0
9e,3,0,0
9euros,1,0,0
9h,57,41,26
9h08,3,0,2
9h15,13,1,0
9h20,1,0,0
9h25,0,1,1
9h30,6,4,2
9h30pm,0,2,2
9h3o,1,1,0
9h42,1,0,0
9h45,14,1,0
9h50,1,0,1
9heure,3,0,1
9heures,1,0,0
9janvier,2,0,0
9km,0,1,0
9min,7,0,1
9mois,0,1,0
9on,1,0,0
9p20,1,0,1
__,5,1,0
___,21,1,0
____,0,1,0
_____________,1,0,0
a14h30,1,0,0
a17,0,1,1
a17h,1,0,0
a17h45,1,0,0
a18h,1,0,0
a20,1,0,0
a208,1,0,0
a20h,1,0,0
a3h,0,1,1
a4,1,0,0
a5,0,1,0
a8h,1,0,0
aa,3,1,1
aaa,3,0,0
aaaa,5,0,1
aaaaa,1,0,0
aaaaaa,1,0,0
aaaaaaa,1,0,0
aaaaaaaaaaaaaaaa,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaah,0,1,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaah,1,0,0
aaaaaaaaaaaaaaaaaaaaaaaaaaah,1,0,0
aaaaaaaaaaaaaaaaaaah,1,0,0
aaaaaaaaaaaaaaaaah,1,0,0
